feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.45332773396164505,0.4251943813975866,0.8563607292372061,0.21833724690910516,0.524521577918404,0.17711079583108336,0.47712907280283645,0.3284995953823643,0.28142144631494803,0.28289097635694105,1
0.7619335754746307,0.32182840633722,0.6912280864334047,0.8705454058645593,0.07514266063739838,0.6852620300725984,0.27715631535494833,0.34841578472850687,0.2954288743825618,0.06788855142264028,1
0.1189417298977693,0.2262888476583802,0.592264781430785,0.3706464446867851,0.042064810572536415,0.3274705049239839,0.7092171654826438,0.8173632856689315,0.5600434960381225,0.5088860937245503,0
0.7613016845367111,0.9755341584755006,0.48105981513055973,0.39688386998498015,0.2273074922068773,0.702315010757048,0.914638438639274,0.8241160052092059,0.01222572615483608,0.3655637609897804,0
0.09207839601681544,0.09154583359546864,0.8139187635203228,0.019135384502935948,0.4269448885577932,0.7666128550726702,0.36243213092867965,0.5563963453670843,0.11227102479218476,0.22843694623423516,0
0.8345750886431165,0.7181234788053522,0.3903783248026321,0.6920037541198605,0.4250299993448047,0.46687255079500767,0.5633655742031255,0.17324440759407211,0.8544892851129494,0.12903841422370743,1
0.027516081921595825,0.6561557103494717,0.19206227674151244,0.5015636800678869,0.58011789230341,0.21754920153046842,0.5142596482994231,0.9115809841173994,0.5219561560070982,0.2638787450081468,1
0.6184363983762037,0.019485715275642246,0.14787747183382327,0.08345671441419367,0.8606535389776967,0.39828290665632937,0.6435865382698954,0.8013245167453882,0.06969759539546483,0.6145888311157457,0
0.486013169097137,0.1066171012327306,0.21208428816932434,0.7481605335341688,0.5028016975249261,0.7637776466224825,0.8685393745656832,0.5205402192836188,0.4725180687599796,0.000467617268396614,1
0.9323487340010731,0.2603553541961596,0.5739522595821543,0.9457324836529272,0.7609533059171257,0.47389065181649936,0.8215214054503343,0.7016316257473397,0.7137084365963551,0.3985705463682514,0
0.5366926319080157,0.9749396414708296,0.7756025305807596,0.269123185482397,0.6485571318000302,0.01925744447637756,0.5624985649579961,0.5019115439868402,0.7684249377575988,0.9186462021820473,1
0.41622380266892633,0.10619130384438136,0.8170924762843133,0.7564890133103173,0.9560693062277114,0.16545176701055953,0.3112217585482253,0.7373371984814535,0.20307085637061395,0.7016079387125387,1
0.522825341602092,0.7847036259781356,0.1997389366793808,0.10685554541827913,0.03817827440057009,0.4130323811713492,0.5316258560077113,0.4469167704255942,0.30789391337354965,0.9678783938008074,0
0.15648261886736725,0.12174340698921471,0.7208882321500322,0.901511375162494,0.7579861778614616,0.8401253182785287,0.4504265695179225,0.1691879672032146,0.9808376998085298,0.7196953190052389,0
0.7885591260754832,0.7126321763458617,0.2361545053000379,0.43712680984248675,0.15551123454048632,0.13108753702382714,0.9619612336603357,0.35678469233820864,0.09924583083952032,0.5989841443401432,1
0.26047114516102743,0.7551961051268171,0.7739218885853765,0.4248909541155206,0.3817196393835013,0.2574057041675619,0.313524487660917,0.015984052079327182,0.6086249595512815,0.017992674277639287,0
0.635959050814444,0.24473155986057404,0.019622912028237405,0.7251498512471194,0.27109230037028176,0.4634666632115956,0.24176288551676728,0.9558787825186253,0.6123501760868781,0.24384633348220663,1
